wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (666524.5 5105391.5,666542.85 5105377.54,666555.87 5105368.64,666575.59 5105355.11)";6403;6403;VIA GIULIO CIURLETTI;VIA GIULIO CIURLETTI;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663897.56 5103556.0,663949.44 5103565.0,663987.81 5103572.0)";2510;2510;VIA G. PRATI;VIA G. PRATI;TRENTO;1;;0;
"LINESTRING (663625.56 5111608.5,663645.41 5111566.28,663645.7 5111562.9,663643.92 5111559.63,663574.1 5111505.91)";8422;8422;SPONDA TRENTINA;SPONDA TRENTINA;TRENTO;0;;0;SP 76 dir S.Lazzaro
"LINESTRING (664045.88 5103582.0,664047.31 5103574.5,664048.19 5103541.0)";1080;1080;VIA C. ESTERLE;VIA C. ESTERLE;TRENTO;1;;0;
"LINESTRING (663911.82 5102074.33,663945.59 5102006.04,663956.97 5101987.18,664000.07 5101930.07,664000.59 5101911.38)";3801;3801;VIA BEATO G. ALBERIONE;VIA BEATO G. ALBERIONE;TRENTO;0;;0;
"LINESTRING (663244.62 5108074.5,663247.25 5108075.37,663249.62 5108076.5,663251.81 5108078.0,663253.86 5108079.89,663255.19 5108082.0,663256.31 5108084.5,663257 5108087,663257.25 5108089.5,663257 5108092,663256.31 5108095.0,663255.15 5108097.52,663253.69 5108099.5,663251.6 5108101.43,663249.75 5108102.75,663247.25 5108104.0)";0;0;;;TRENTO;1;;0;
"LINESTRING (664869.44 5102938.5,664834.12 5102967.5,664807 5102990)";40;40;VIA ADAMELLO;VIA ADAMELLO;TRENTO;0;;0;
"LINESTRING (663313.23 5106472.97,663372.62 5106471.84)";4041;4041;ZONA COMM.LE VIA BRENNERO;ZONA COMM.LE VIA BRENNERO;TRENTO;0;;0;
"LINESTRING (664252.31 5103839.0,664247.88 5103838.0,664245.62 5103857.5,664243.25 5103877.5,664239.88 5103905.0,664238.94 5103912.5)";2910;2910;VIA DEL SIMONINO;VIA DEL SIMONINO;TRENTO;1;;0;
"LINESTRING (664630.88 5096259.0,664632.73 5096239.6,664633.15 5096218.95,664633.56 5096204.23,664633.93 5096184.39,664631.59 5096174.43,664627.53 5096161.07,664621.69 5096143.0)";7880;7880;LOCALITA' LE BASSE;LOCALITA' LE BASSE;TRENTO;0;PRINCIPALE;0;
"LINESTRING (659020.06 5104531.5,659022.69 5104530.5,659033.0 5104526.5,659048.94 5104519.0,659068.62 5104508.5,659090.31 5104497.5,659106.56 5104490.0,659120.25 5104485.0,659126.38 5104485.0)";8052;8052;VIA DELLA VAL DEI MOLINI;VIA DELLA VAL DEI MOLINI;TRENTO;0;;1;SP 85 dir Vigolo Baselga
"LINESTRING (662928.5 5106371.5,662882.38 5106445.5)";1570;1570;VIA E. MACCANI;VIA E. MACCANI;TRENTO;0;;0;
"LINESTRING (657959.12 5104605.0,657967 5104605,657976.75 5104602.5,657985.88 5104598.5,657997.25 5104592.5)";8323;8323;VIA DEI CASAI;VIA DEI CASAI;TRENTO;0;;0;
"LINESTRING (662123.88 5103293.5,662133.94 5103289.0)";8613;8613;VIA DELLA CROSARA;VIA DELLA CROSARA;TRENTO;0;;0;
"LINESTRING (659452.06 5103664.0,659463.88 5103677.5,659479.44 5103695.5,659496.81 5103713.0,659525.25 5103740.5,659538.0 5103752.5,659545.88 5103760.0,659558.38 5103771.0,659563.31 5103775.5)";8049;8049;STRADA PER LE TRE CIME;STRADA PER LE TRE CIME;TRENTO;0;;1;SP 85 dir Sopramonte
"LINESTRING (664830 5103399,664829.94 5103408.5,664832.0 5103416.5,664837.44 5103431.0,664839.44 5103436.5,664850.19 5103465.5)";1340;1340;VIA B. GIOVANELLI;VIA B. GIOVANELLI;TRENTO;1;;0;
"LINESTRING (659165.77 5103919.04,659162.94 5103913.5)";8049;8049;STRADA PER LE TRE CIME;STRADA PER LE TRE CIME;TRENTO;0;;1;SP 85 dir Sopramonte
"LINESTRING (663811.44 5104434.5,663774.31 5104445.5,663729.69 5104458.5,663707.56 5104465.0)";1410;1410;VIA F. GUARDI;VIA F. GUARDI;TRENTO;1;;0;
"LINESTRING (664068.5 5103761.0,664061.88 5103790.0,664051.76 5103851.94)";240;240;VIA R. BELENZANI;VIA R. BELENZANI;TRENTO;1;;0;
"LINESTRING (664887.94 5097462.56,664918.67 5097449.05,664945.75 5097438.5)";7750;7750;VIA DELLA TORRE FRANCA;VIA DELLA TORRE FRANCA;TRENTO;0;;0;
"LINESTRING (664945.75 5097438.5,664955.69 5097434.67,664962.5 5097431.5)";7750;7750;VIA DELLA TORRE FRANCA;VIA DELLA TORRE FRANCA;TRENTO;0;;0;
"LINESTRING (665621.12 5101012.5,665598.69 5101041.02,665583.49 5101070.47,665574.98 5101086.36,665569.77 5101092.79,665561.37 5101099.41,665545.02 5101109.18)";7080;7080;VIA GALASSA;VIA GALASSA;TRENTO;0;;0;
"LINESTRING (663900.94 5102926.5,663899.12 5102944.5,663898.81 5102950.5)";1350;1350;VIA G. GIUSTI;VIA G. GIUSTI;TRENTO;0;;0;
"LINESTRING (664742.35 5104872.79,664738.0 5104849.5)";6120;6120;VIA ALLE COSTE;VIA ALLE COSTE;TRENTO;0;;0;
"LINESTRING (665550.51 5104798.74,665549.77 5104798.34,665549.08 5104797.79,665548.21 5104797.06,665547.57 5104796.3,665546.94 5104795.28,665546.42 5104794.08,665546.11 5104792.54,665546.12 5104791.12,665546.55 5104788.86,665546.97 5104787.67,665547.59 5104786.57)";0;0;;;TRENTO;1;;0;
"LINESTRING (664093.55 5103319.6,664030.5 5103311.0)";1600;1600;VIA CARD. C. MADRUZZO;VIA CARD. C. MADRUZZO;TRENTO;1;;0;
"LINESTRING (666524.71 5103836.32,666518.8 5103847.74,666518.03 5103850.53,666518.32 5103854.33,666519.75 5103858.0,666522.65 5103861.72,666525.72 5103864.7,666530.5 5103867.65,666536.26 5103868.86,666547.47 5103868.34,666549.58 5103868.6,666551.38 5103869.39,666552.68 5103870.95,666553.25 5103872.5,666553.28 5103875.45,666552.03 5103878.29,666544.87 5103886.68,666544.02 5103889.11,666543.81 5103891.5,666544.49 5103895.45,666545.91 5103898.03,666548.6 5103899.63,666551.93 5103900.38,666554.68 5103899.93,666561.49 5103896.71,666585.26 5103883.72,666592.76 5103880.46,666599.86 5103879.57,666625.67 5103880.8,666657.56 5103858.0)";7345;7345;VIA SABBIONI;VIA SABBIONI;TRENTO;0;;0;
"LINESTRING (666149.31 5101982.0,666114.75 5101989.5)";7130;7130;LOCALITA' NEGRANO;LOCALITA' NEGRANO;TRENTO;0;;0;
"LINESTRING (664442.69 5102488.5,664497.25 5102456.0,664518.12 5102441.5)";2200;2200;VIA PALERMO;VIA PALERMO;TRENTO;0;;0;
"LINESTRING (664540.22 5097282.79,664550.88 5097348.5,664562.38 5097418.0,664573.02 5097494.62,664588.41 5097578.35,664590.11 5097601.49,664586.18 5097612.81)";3811;3811;TANGENZIALE SUD;TANGENZIALE SUD;TRENTO;1;;1;SS 12 svincoli
"LINESTRING (665399.38 5105211.0,665434.38 5105212.05)";6495;6495;VIA DI ZELL;VIA DI ZELL;TRENTO;0;;0;
"LINESTRING (665578.56 5105216.5,665569.31 5105224.0,665561.38 5105232.03,665554.69 5105241.0,665551.14 5105247.7,665550.05 5105254.26,665549.22 5105263.22,665545.74 5105266.3,665542.02 5105270.95,665539.24 5105296.92,665514.34 5105307.75)";6495;6495;VIA DI ZELL;VIA DI ZELL;TRENTO;0;;0;
"LINESTRING (662172.25 5103253.5,662150.75 5103250.0)";8627;8627;P.ZZA S.FILIPPO E GIACOMO;P.ZZA S.FILIPPO E GIACOMO;TRENTO;0;;0;
"LINESTRING (664350.81 5104323.5,664357.288147152 5104365.97634783)";2820;2820;VIA SAN MARTINO;VIA SAN MARTINO;TRENTO;0;;0;
"LINESTRING (662078.5 5103482.41,662092.44 5103480.0)";8626;8626;VIA DEL RONCO D'ANDREA;VIA DEL RONCO D'ANDREA;TRENTO;0;;0;
"LINESTRING (662242.0 5103250.5,662273.07 5103256.23,662296.75 5103260.0,662315.5 5103260.79,662327.05 5103260.91,662335.41 5103260.32)";8608;8608;VIA ALLA CESA VECIA;VIA ALLA CESA VECIA;TRENTO;0;;0;
"LINESTRING (665791.19 5101165.0,665797 5101149,665803.81 5101122.5)";7180;7180;STRADA DELLE TABARELLE;STRADA DELLE TABARELLE;TRENTO;0;;0;
"LINESTRING (665212.52 5104332.21,665215.74 5104338.38,665221.32 5104347.12,665224.99 5104351.88,665227.48 5104354.17,665230.29 5104355.79,665233.47 5104357.29,665236.77 5104358.2,665245.81 5104358.5,665270.52 5104358.88,665286.73 5104357.89,665296.45 5104356.5,665306.94 5104354.0,665314.44 5104351.5,665319.62 5104349.0)";3502;3502;VIA DEI GIARDINI;VIA DEI GIARDINI;TRENTO;0;;0;
"LINESTRING (666352.31 5101306.5,666353.25 5101309.12,666353.78 5101313.49,666353.78 5101316.27,666352.72 5101319.7,666351.0 5101324.5,666345.31 5101338.0,666338.06 5101355.5,666331.81 5101376.5,666329.5 5101387.0,666328.75 5101393.0,666329.08 5101397.29,666329.92 5101400.64,666332.19 5101405.77,666333.5 5101410.5,666337.06 5101428.69,666339.12 5101444.5,666338.31 5101460.5,666336.44 5101483.5,666334.3 5101538.57)";7250;7250;VIA VILLA BELFONTE;VIA VILLA BELFONTE;TRENTO;0;;0;
"LINESTRING (663512.52 5106424.49,663335.69 5106358.5)";3808;3808;VIA LEOPOLDO PERGHER;VIA LEOPOLDO PERGHER;TRENTO;0;PRINCIPALE;0;
"LINESTRING (668196.64 5103776.42,668185.17 5103772.75,668161.13 5103763.33,668136.63 5103754.29,668121.82 5103749.05,668115.23 5103746.19,668099.07 5103743.68,668086.44 5103740.04,668069.33 5103729.02,668040.21 5103710.08,668035.02 5103705.08,668030.83 5103699.23,668016.38 5103660.0,668001.43 5103627.11,667995.5 5103623.0)";7370;7370;VIA EREMO;VIA EREMO;TRENTO;0;;0;
"LINESTRING (664510.88 5103987.5,664454.31 5103960.0,664440.22 5103951.85,664435.75 5103948.0,664430.38 5103942.0,664408.44 5103910.0)";1750;1750;VIA L. MARCHETTI;VIA L. MARCHETTI;TRENTO;1;;0;
"LINESTRING (663495.94 5101893.0,663500.06 5101892.5,663504.19 5101893.0,663508.19 5101894.0,663511.95 5101895.6,663515.31 5101898.0,663518.19 5101901.0,663520.56 5101904.5,663522.31 5101908.5,663523.44 5101912.5)";3770;3770;VIA H. JEDIN;VIA H. JEDIN;TRENTO;1;;0;SS 12 svincoli
"LINESTRING (664883.12 5106212.0,664881.23 5106232.72,664878.45 5106246.26,664856.02 5106303.6,664870.92 5106310.55,664923.97 5106307.31,664922.62 5106279.0)";6160;6160;VIA ALLA FORMIGHETA;VIA ALLA FORMIGHETA;TRENTO;0;;0;
"LINESTRING (660128.69 5105276.5,660134.5 5105279.5,660139.31 5105281.0,660144.94 5105282.5,660152.62 5105282.5,660159 5105282,660164.62 5105281.0,660170.75 5105278.5)";8134;8134;STRADA DI SORAVAL;STRADA DI SORAVAL;TRENTO;0;;0;
"LINESTRING (666568.06 5102572.0,666610.0 5102572.5,666616.16 5102585.87,666618.87 5102591.8,666623.19 5102599.5,666630.8 5102607.05,666640.31 5102624.57,666647.82 5102631.13,666658.06 5102639.5,666664.69 5102646.0,666667.56 5102651.0,666672.7 5102660.58,666683.4 5102676.12,666686.31 5102680.0,666689.56 5102684.5,666699.12 5102696.0,666708.81 5102703.5,666711.19 5102706.0,666712.56 5102711.0,666712.75 5102726.5,666713.31 5102763.0,666711.94 5102772.0)";7425;7425;VIA GABBIOLO;VIA GABBIOLO;TRENTO;0;;0;
"LINESTRING (663064.73 5111065.41,663058.06 5111072.2,663023.94 5111068.4,663018.99 5111071.61)";5778;5778;LUNGAVISIO LUIGI TOMASI;LUNGAVISIO LUIGI TOMASI;TRENTO;0;PRINCIPALE;0;
"LINESTRING (664996.96 5097814.08,664996.7 5097811.55,664996.82 5097809.59,664997.36 5097807.07,664998.0 5097805.11,664998.9 5097803.61,665000.07 5097802.38,665001.72 5097801.05,665003.38 5097800.12,665005.15 5097799.37,665007 5097799)";0;0;;;TRENTO;1;;0;
"LINESTRING (664338.94 5103563.5,664365.38 5103564.0)";4057;4057;GIARDINO G. B. GARZETTI;GIARDINO G. B. GARZETTI;TRENTO;0;;0;
"LINESTRING (664345.38 5102726.5,664336.06 5102719.0,664333 5102715,664302.62 5102671.0,664287.81 5102650.0)";1940;1940;VIA MONTE CORNO;VIA MONTE CORNO;TRENTO;1;;0;
"LINESTRING (664080.61 5103986.32,664066.38 5104047.5)";90;90;VIA V. ALFIERI;VIA V. ALFIERI;TRENTO;1;;0;
"LINESTRING (664003.94 5103661.0,664006.64 5103653.25,664009.85 5103635.47,664033.11 5103639.9,664036.67 5103641.83)";2440;2440;SOTTOPORTICO DEL PIEVANO;SOTTOPORTICO DEL PIEVANO;TRENTO;0;;0;
"LINESTRING (664584.75 5102685.0,664551.69 5102671.5,664550.03 5102668.66)";2200;2200;VIA PALERMO;VIA PALERMO;TRENTO;0;;0;
"LINESTRING (663424.48 5098514.89,663393.38 5098451.5,663390.12 5098445.0,663363.5 5098390.0)";8911;8911;VIA DEI POMARI;VIA DEI POMARI;TRENTO;0;;1;SP 90 Destra Adige
"LINESTRING (659526.12 5105747.5,659521.62 5105744.5,659509.93 5105737.31,659501.44 5105732.58)";8119;8119;VIA DEL CAPITELLO;VIA DEL CAPITELLO;TRENTO;0;;0;
"LINESTRING (659502.89 5105777.55,659482.88 5105764.0,659476.1 5105759.47,659479.74 5105753.48,659483.12 5105748.15,659487.15 5105741.65,659490.93 5105735.66,659494.49 5105728.83)";8119;8119;VIA DEL CAPITELLO;VIA DEL CAPITELLO;TRENTO;0;;0;
"LINESTRING (663550.93 5107839.55,663530.75 5107829.0)";5625;5625;VIA SILVIO PEGORETTI;VIA SILVIO PEGORETTI;TRENTO;0;;0;
"LINESTRING (664524.62 5100137.0,664520.06 5100140.0,664515 5100143)";3811;3811;TANGENZIALE SUD;TANGENZIALE SUD;TRENTO;1;;1;SS 12 svincoli
"LINESTRING (667098.91 5103929.14,667083.03 5103930.54,667082.62 5103933.3,667081.94 5103938.17,667080.17 5103942.88,667080.62 5103947.5,667079.06 5103951.0)";7385;7385;VIA SPRE';VIA SPRE';TRENTO;0;;0;
"LINESTRING (664818.18 5103348.01,664834.9 5103353.46)";2730;2730;VIA SAN BERNARDINO;VIA SAN BERNARDINO;TRENTO;1;;0;
"LINESTRING (664864.81 5111190.5,664899.56 5111135.96)";8487;8487;STRADA FONDA;STRADA FONDA;TRENTO;0;;0;
"LINESTRING (663245.41 5108242.53,663235.82 5108241.53,663222.18 5108239.8,663190.25 5108235.5)";5520;5520;VIA MARCO POLA;VIA MARCO POLA;TRENTO;0;;0;
"LINESTRING (661728.94 5107852.15,661733.11 5107853.75,661736.44 5107856.0,661738.48 5107858.37,661740.36 5107861.59,661741.54 5107864.94,661741.81 5107868.79,661741.4 5107870.77)";5460;5460;VIA INNSBRUCK;VIA INNSBRUCK;TRENTO;1;;0;
"LINESTRING (664258.75 5104227.8,664254.69 5104220.5)";2320;2320;PIAZZA S. PELLICO;PIAZZA S. PELLICO;TRENTO;1;;0;
"LINESTRING (663334.62 5103991.5,663307.88 5104058.0)";2230;2230;VIA PAPIRIA;VIA PAPIRIA;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663299.7 5103361.77,663305.87 5103382.37,663309.49 5103395.77,663311.51 5103407.05,663312.79 5103419.86,663312.79 5103428.5,663312.75 5103435.95,663310.49 5103462.42,663309.24 5103483.63)";0;0;;;TRENTO;1;;0;
"LINESTRING (664277.06 5104891.0,664264.69 5104913.5)";2430;2430;VIA DI PIETRASTRETTA;VIA DI PIETRASTRETTA;TRENTO;0;;0;
"LINESTRING (665438.38 5105212.29,665440.25 5105203.5,665443.5 5105192.04,665454.39 5105158.05,665466.5 5105118.5)";6495;6495;VIA DI ZELL;VIA DI ZELL;TRENTO;0;;0;
"LINESTRING (659269.21 5105466.06,659237.31 5105504.5,659227.82 5105515.68)";8128;8128;VIA DEI MASI;VIA DEI MASI;TRENTO;0;;0;
"LINESTRING (665462.19 5110947.53,665471.74 5110950.67,665486.85 5110952.98)";8491;8491;STRADA ALLE GORGHE;STRADA ALLE GORGHE;TRENTO;0;;0;
"LINESTRING (659261.62 5104161.0,659263.24 5104151.8,659266.87 5104141.91,659271.62 5104128.5,659275.42 5104120.39,659280.69 5104101.5)";8039;8039;VIA DI REVOLTA;VIA DI REVOLTA;TRENTO;0;;0;
"LINESTRING (659260.453862546 5104029.10184149,659249.34 5104034.18)";8027;8027;PIAZZA OVENO;PIAZZA OVENO;TRENTO;0;PRINCIPALE;0;
"LINESTRING (662443.75 5107407.5,662358.14 5107399.13)";5080;5080;VIA L. CANEPPELE;VIA L. CANEPPELE;TRENTO;0;;0;
"LINESTRING (662779.5 5108178.0,662809.56 5108066.0)";5010;5010;VIA AEROPORTO;VIA AEROPORTO;TRENTO;0;;0;
"LINESTRING (663111.99 5108222.27,663098.57 5108219.88,663057.88 5108213.93,663049.18 5108215.16,663042.61 5108217.34)";5010;5010;VIA AEROPORTO;VIA AEROPORTO;TRENTO;0;;0;
"LINESTRING (664081.5 5103855.9,664077.82 5103855.55,664051.76 5103851.94)";3260;3260;GALLERIA TIRRENA;GALLERIA TIRRENA;TRENTO;0;;0;
"LINESTRING (663847.94 5103867.0,663845.25 5103881.5,663842.81 5103894.5)";2530;2530;VIA DELLA PREPOSITURA;VIA DELLA PREPOSITURA;TRENTO;0;;0;
"LINESTRING (663796.16 5103887.03,663806.8 5103889.07,663819.9 5103891.32,663842.81 5103894.5)";2530;2530;VIA DELLA PREPOSITURA;VIA DELLA PREPOSITURA;TRENTO;0;;0;
"LINESTRING (664132.48 5104272.63,664145.31 5104300.5)";1280;1280;VIA A. GAZZOLETTI;VIA A. GAZZOLETTI;TRENTO;0;SECONDARIO;0;
"LINESTRING (662088.71 5109371.19,662100.96 5109368.83,662130.83 5109363.82,662374.69 5109320.0,662448.33 5109307.1)";5660;5660;VIA DI SPINI;VIA DI SPINI;TRENTO;0;;0;
"LINESTRING (663651.0 5101379.5,663649.93 5101381.23,663649.0 5101382.5,663647.8 5101383.96,663646.43 5101385.09,663644.74 5101386.26,663643.19 5101387.0,663640.46 5101387.8,663638.67 5101388.18,663636.96 5101388.24,663634.76 5101388.08,663632.31 5101387.5)";3807;3807;TANGENZIALE OVEST;TANGENZIALE OVEST;TRENTO;1;PRINCIPALE;1;SS 12 svincoli
"LINESTRING (663885.78 5102777.35,663806.06 5102767.5)";1350;1350;VIA G. GIUSTI;VIA G. GIUSTI;TRENTO;0;;0;
"LINESTRING (663845.38 5102623.46,663845.65 5102620.35,663846.09 5102618.55,663847.18 5102616.04,663848.98 5102613.59,663850.88 5102612.01,663852.74 5102611.03,663855.68 5102609.99,663856.94 5102609.92)";2500;2500;LARGO E. PRATI;LARGO E. PRATI;TRENTO;1;;0;
"LINESTRING (666882.13 5103519.92,666866.85 5103523.0,666857.75 5103523.62,666845.26 5103523.62,666834.55 5103524.15,666831.9 5103523.62)";7315;7315;VIA MADONNINA;VIA MADONNINA;TRENTO;0;SECONDARIO;0;
"LINESTRING (663105.37 5097931.9,663086.19 5097939.87,663082.03 5097930.65)";8930;8930;VIA DELLE FONTANELLE;VIA DELLE FONTANELLE;TRENTO;0;;0;
"LINESTRING (664110.75 5102708.5,664127.88 5102658.5,664158.04 5102562.07,664113.72 5102547.2,664071.06 5102696.5)";3510;3510;VIA VITTORIO VENETO;VIA VITTORIO VENETO;TRENTO;0;PRINCIPALE;0;
"LINESTRING (664148.12 5102720.0,664110.75 5102708.5)";3510;3510;VIA VITTORIO VENETO;VIA VITTORIO VENETO;TRENTO;0;PRINCIPALE;0;
"LINESTRING (664326.81 5103808.0,664323.94 5103802.89,664320.66 5103765.46,664317.44 5103760.5)";2620;2620;VIA DELLA ROGGIA GRANDE;VIA DELLA ROGGIA GRANDE;TRENTO;1;;0;
"LINESTRING (663436.418607558 5100970.41543054,663424.388338766 5100975.73623705,663413.3327922 5100978.68235797,663399.482986612 5100981.81071318,663348.327239813 5100993.2611007,663329.131895226 5101001.76536729,663316.739963911 5101019.01687951,663313.824215366 5101034.81051746,663308.964634458 5101100.41485972,663309.450592549 5101127.14255472,663316.011026775 5101148.28173167,663327.916999999 5101165.0472858,663345.168512223 5101175.98134284,663373.961529104 5101186.42944179,663404.333909779 5101192.13944936)";8800;8800;VIA DEL PONTE;VIA DEL PONTE;TRENTO;0;;1;SP 90 Destra Adige
"LINESTRING (658454.5 5104879.5,658461.56 5104883.0)";0;0;;;TRENTO;0;;0;
"LINESTRING (663587.12 5111484.0,663593.5 5111479.5,663601.69 5111473.0,663608.12 5111464.5,663600.38 5111453.5,663597.06 5111456.5,663589.25 5111465.0,663578.19 5111475.0)";8544;8544;VICOLO DI SANTA GIULIANA;VICOLO DI SANTA GIULIANA;TRENTO;0;;0;
"LINESTRING (665351.0 5105174.59,665338.38 5105187.5)";6330;6330;VIA DI PRADISCOLA;VIA DI PRADISCOLA;TRENTO;0;;0;
"LINESTRING (663109.2 5104643.67,663180.36 5104643.73)";4030;4030;PIAZZALE DELLA ZUFFO;PIAZZALE DELLA ZUFFO;TRENTO;0;;0;
"LINESTRING (665157.62 5103122.0,665158 5103059)";2050;2050;VIA A. NICOLODI;VIA A. NICOLODI;TRENTO;1;;0;
"LINESTRING (664634.85 5096429.32,664635 5096417)";7815;7815;VIA NAZIONALE;VIA NAZIONALE;TRENTO;0;;0;
"LINESTRING (664854.19 5097494.0,664872.01 5097538.99,664880.16 5097563.45)";7760;7760;LOCALITA' I CAROZETI;LOCALITA' I CAROZETI;TRENTO;0;;0;
"LINESTRING (664573.5 5105851.5,664590.14 5105869.57,664601.56 5105886.0,664611.47 5105902.08,664618.56 5105913.0,664623.27 5105920.91,664630.46 5105931.77,664640.38 5105946.5,664650.69 5105965.0,664660.37 5105980.88,664662.88 5105983.96,664667.77 5105984.83)";6100;6100;VIA DEI CASTORI;VIA DEI CASTORI;TRENTO;0;;0;
"LINESTRING (664264.69 5104913.5,664270.68 5104917.26,664288 5104925,664292.43 5104927.0,664294.19 5104927.5,664295.44 5104927.5,664296.44 5104927.39,664297.61 5104926.71,664299.75 5104925.0,664317.12 5104905.5)";2430;2430;VIA DI PIETRASTRETTA;VIA DI PIETRASTRETTA;TRENTO;0;;0;
"LINESTRING (662919.75 5099124.0,662928.67 5099130.13,662941.89 5099138.6,662948.5 5099142.31,662954.69 5099150.57,662960.88 5099159.5,662966.38 5099167.0,662970.25 5099172.5,662970.75 5099179.5,662969.88 5099184.0)";8770;8770;VIA MARGONE;VIA MARGONE;TRENTO;0;;0;
"LINESTRING (662411.81 5109096.0,662409.68 5109098.61,662406.13 5109101.21,662399.83 5109103.08,662388.52 5109105.07,662345.75 5109111.5,662341.56 5109113.5,662338.88 5109115.43,662337.15 5109118.39,662336.56 5109122.5,662331.35 5109189.7)";5781;5781;VIA DELLE PALAZZINE;VIA DELLE PALAZZINE;TRENTO;0;PRINCIPALE;0;
"LINESTRING (664634.56 5102110.5,664556.74 5102110.9)";1390;1390;VIA A. GRAMSCI;VIA A. GRAMSCI;TRENTO;0;;0;
"LINESTRING (664634.56 5102110.5,664635.75 5102084.5,664638.56 5102060.76)";1390;1390;VIA A. GRAMSCI;VIA A. GRAMSCI;TRENTO;1;;0;
"LINESTRING (666515.94 5103749.0,666500.5 5103765.0,666473.12 5103795.0,666448.41 5103821.39,666431.47 5103835.44,666411.63 5103852.79,666403.98 5103860.44,666383.82 5103884.3)";7305;7305;VIA ALLA CASCATA;VIA ALLA CASCATA;TRENTO;0;;0;
"LINESTRING (663811.56 5107185.5,663813.56 5107171.02,663813.98 5107165.31,663813.7 5107160.16,663813.32 5107154.17)";5595;5595;VIA DI MELTA;VIA DI MELTA;TRENTO;0;;0;
"LINESTRING (665550.16 5105186.21,665551.07 5105193.71,665555.25 5105213.5)";6482;6482;VIA EDUINO FELLIN;VIA EDUINO FELLIN;TRENTO;0;;0;
"LINESTRING (663024.38 5098193.5,663034.81 5098207.5)";8965;8965;PIAZZA C. CONDINI;PIAZZA C. CONDINI;TRENTO;0;;0;
"LINESTRING (664854.19 5097494.0,664882.7 5097480.08)";7760;7760;LOCALITA' I CAROZETI;LOCALITA' I CAROZETI;TRENTO;0;;0;
"LINESTRING (665319.62 5104331.5,665285.25 5104330.0,665281.5 5104329.5,665279.0 5104327.5,665279.5 5104300.0,665263.19 5104300.0)";3502;3502;VIA DEI GIARDINI;VIA DEI GIARDINI;TRENTO;0;;0;
"LINESTRING (665635.79 5105003.41,665647.87 5104996.54,665659.04 5104991.56,665675.56 5104988.36)";6240;6240;VIA DEI MASETTI;VIA DEI MASETTI;TRENTO;0;;0;
"LINESTRING (659488.9 5106097.43,659502.44 5106066.0)";8127;8127;STRADA AL LAGO;STRADA AL LAGO;TRENTO;0;;0;
"LINESTRING (662358.14 5107399.13,662318.15 5107395.22,662275.29 5107391.76)";5080;5080;VIA L. CANEPPELE;VIA L. CANEPPELE;TRENTO;0;;0;
"LINESTRING (665822.67 5100128.18,665822.85 5100134.51,665822.85 5100141.4,665822.11 5100148.49,665821.17 5100154.26,665820.06 5100158.17,665818.4 5100162.0,665816.52 5100164.14,665813.54 5100167.68,665798.63 5100182.58,665791.36 5100190.41,665782.42 5100200.47,665773.07 5100210.27,665752.06 5100233.26)";3833;3833;VIA AL BOSCO DELLA CITTA';VIA AL BOSCO DELLA CITTA';TRENTO;0;;0;
"LINESTRING (666375.31 5102251.0,666398.1 5102332.51,666400.18 5102355.16,666400.81 5102379.75,666404.16 5102410.86,666407.04 5102437.05,666409.32 5102460.74,666414.31 5102486.0)";7502;7502;VIA ZNOJMO;VIA ZNOJMO;TRENTO;0;;0;
"LINESTRING (666119.37 5101307.96,666117.62 5101338.5,666116.31 5101359.5,666119.12 5101397.5,666125.44 5101420.0,666132.36 5101439.28,666132.7 5101443.0,666131.35 5101448.3,666128.62 5101453.0,666105.89 5101481.79,666101.81 5101488.0,666082.69 5101500.5)";7260;7260;SALITA DEI MOLINI;SALITA DEI MOLINI;TRENTO;0;;0;
"LINESTRING (665864.81 5100689.5,665854.35 5100686.56,665821.31 5100677.82)";7080;7080;VIA GALASSA;VIA GALASSA;TRENTO;0;;0;
"LINESTRING (664256.44 5104504.5,664269.85 5104507.46)";30;30;VIA J. ACONCIO;VIA J. ACONCIO;TRENTO;0;;0;
"LINESTRING (664252.31 5102065.5,664252.48 5102055.1)";1860;1860;VIA GEN. GIACOMO MEDICI;VIA GEN. GIACOMO MEDICI;TRENTO;1;;0;
"LINESTRING (664455.44 5105171.5,664454.81 5105164.0,664452.81 5105161.0,664448.18 5105159.27,664445.81 5105159.24,664443.47 5105159.63,664441.13 5105161.17,664437.89 5105166.36,664429.38 5105183.0,664422.65 5105199.17,664414.12 5105207.5)";0;0;;;TRENTO;1;;0;
"LINESTRING (665851.88 5104851.0,665844.62 5104848.0,665832.62 5104840.5,665827.38 5104836.5,665815.75 5104824.0)";6240;6240;VIA DEI MASETTI;VIA DEI MASETTI;TRENTO;0;;0;
"LINESTRING (664236.38 5103339.0,664241.5 5103312.0,664244.44 5103296.5)";2950;2950;VIA SANTA CROCE;VIA SANTA CROCE;TRENTO;1;;0;
"LINESTRING (664408.44 5103910.0,664405.15 5103912.89,664403.19 5103917.0)";2970;2970;VIA S. MARIA MADDALENA;VIA S. MARIA MADDALENA;TRENTO;1;;0;
