wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (664777.51 5111696.88,664778.87 5111700.68,664778.43 5111707.53,664776.0 5111719.12,664774.45 5111729.06,664767.16 5111755.56)";8486;8486;VIA DEI FRAGARI;VIA DEI FRAGARI;TRENTO;0;;0;
"LINESTRING (664289.23 5110702.4,664296.56 5110690.5,664306 5110676,664313.44 5110658.5,664316.62 5110648.5,664317.69 5110640.5)";8503;8503;VIA DEL CESURET;VIA DEL CESURET;TRENTO;1;;0;
"LINESTRING (664349.75 5104710.5,664351.75 5104710.5,664353.69 5104711.0,664355.46 5104711.75,664357 5104713,664358.25 5104714.5,664359.06 5104716.5,664359.5 5104719.5,664360.0 5104738.5,664360.94 5104784.0,664361.62 5104804.5,664363.06 5104812.0,664364.19 5104814.0)";2430;2430;VIA DI PIETRASTRETTA;VIA DI PIETRASTRETTA;TRENTO;0;;0;
"LINESTRING (665269.62 5102193.5,665272.61 5102229.76)";7010;7010;VIA ASIAGO;VIA ASIAGO;TRENTO;0;;0;
"LINESTRING (664289.23 5110702.4,664296.62 5110702.0,664304.06 5110699.0,664311.29 5110693.9,664330.04 5110674.92,664335.32 5110670.48,664343.88 5110664.23,664353.14 5110658.48,664388.04 5110639.21,664397.68 5110632.66,664402.22 5110628.12,664411.13 5110617.03,664434.59 5110587.57,664447.1 5110577.09,664466.4 5110559.76,664479.36 5110547.74,664484.4 5110540.77,664488.94 5110530.5)";8510;8510;VIA DEL PRA DE L'AGNELA;VIA DEL PRA DE L'AGNELA;TRENTO;0;;0;
"LINESTRING (664862.98 5110046.87,664866.95 5110042.86,664870.72 5110037.46,664875.23 5110023.34,664881.62 5110020.5)";8521;8521;SALITA AI SPIAZZI;SALITA AI SPIAZZI;TRENTO;0;;0;
"LINESTRING (664862.98 5110046.87,664866.56 5110075.5,664866.19 5110085.0,664864.88 5110089.99,664862.55 5110095.03,664860.09 5110105.48,664858.98 5110112.24,664858.24 5110129.08,664878 5110269,664881.44 5110287.5,664889.75 5110319.5,664892.81 5110329.0,664896.31 5110346.0,664907.12 5110469.5,664910.81 5110530.0,664910.94 5110538.0,664910.44 5110546.0,664903.62 5110601.2,664901.08 5110632.8,664900.29 5110646.29,664901.08 5110683.77,664904.74 5110708.22,664932.38 5110800.0)";8421;8421;VIA SANTI PIETRO E PAOLO;VIA SANTI PIETRO E PAOLO;TRENTO;0;;0;
"LINESTRING (664990.35 5104438.46,664997.91 5104432.08,665006.41 5104426.28,665013.33 5104422.89,665020.12 5104420.5,665024.06 5104420.0,665027.49 5104420.15,665029.94 5104421.0,665033.39 5104423.58,665035.19 5104427.0,665036.88 5104440.0,665038.69 5104443.5,665041.12 5104445.5,665056.0 5104451.5)";1470;1470;VIA DELLE LASTE;VIA DELLE LASTE;TRENTO;0;;0;
"LINESTRING (665229.92 5104062.7,665220.72 5104084.39,665216.54 5104103.6,665215.85 5104120.4,665215.29 5104164.32,665215.71 5104169.11,665217.49 5104173.73)";6470;6470;VIA PER L'OSSERVATORIO;VIA PER L'OSSERVATORIO;TRENTO;0;;0;
"LINESTRING (666102.38 5101061.19,666120.15 5101051.92,666128.31 5101045.74,666139.66 5101023.44,666152.4 5100997.96,666164.15 5100972.47,666166.14 5100963.51,666168.25 5100918.99,666169.61 5100908.9,666171.36 5100897.87,666173.91 5100888.86,666179 5100875,666182.94 5100863.0)";7210;7210;VIA TORRICELLE;VIA TORRICELLE;TRENTO;0;;0;
"LINESTRING (663516.97 5110370.92,663528.6 5110376.38,663530.44 5110383.5,663535.25 5110411.5,663542.81 5110456.5)";8482;8482;VIA DELLA FORNACE;VIA DELLA FORNACE;TRENTO;0;;0;
"LINESTRING (663608 5109850,663622.44 5109874.0,663628.75 5109870.0,663644.31 5109858.5)";8466;8466;VICOLO DELLA ROGGIA;VICOLO DELLA ROGGIA;TRENTO;0;;0;
"LINESTRING (665643.14 5108324.45,665641.97 5108317.73)";6450;6450;STRADA DI MONTEVACCINO;STRADA DI MONTEVACCINO;TRENTO;0;;0;
"LINESTRING (663059.94 5107659.0,663056.06 5107659.0)";5790;5790;VIA NOCE;VIA NOCE;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663059.94 5107659.0,663038.94 5107732.5)";5790;5790;VIA NOCE;VIA NOCE;TRENTO;0;SECONDARIO;0;
"LINESTRING (663908.73 5105779.48,663832.01 5105747.14)";2495;2495;VIA A. PRANZELORES;VIA A. PRANZELORES;TRENTO;0;;0;
"LINESTRING (664203.59 5103718.87,664211.68 5103678.53)";3490;3490;P.ZZA ALESSANDRO VITTORIA;P.ZZA ALESSANDRO VITTORIA;TRENTO;1;;0;
"LINESTRING (664349.75 5104710.5,664367.99 5104610.62)";2430;2430;VIA DI PIETRASTRETTA;VIA DI PIETRASTRETTA;TRENTO;0;;0;
"LINESTRING (666831.9 5103523.62,666821.24 5103520.98,666810.36 5103518.48,666801.76 5103517.77)";7315;7315;VIA MADONNINA;VIA MADONNINA;TRENTO;0;SECONDARIO;0;
"LINESTRING (664563.35 5103721.75,664525.038107538 5103729.56212711)";1400;1400;VIA DON GIUSEPPE GRAZIOLI;VIA DON GIUSEPPE GRAZIOLI;TRENTO;1;;0;
"LINESTRING (664471.42 5103742.71,664468.21 5103743.38,664463.83 5103743.13,664459.75 5103742.15)";2470;2470;LARGO PORTA NUOVA;LARGO PORTA NUOVA;TRENTO;1;;0;
